date,volume,order_counts,wallet_counts
2017-12-27,0.020700000000000003,2,2
2017-12-29,0.041368,4,2
2017-12-30,0.020681003000000003,3,2
2018-01-01,0.020204612000000004,3,2
2018-01-02,0.020800000000000003,2,2
2018-01-03,0.021306,2,2
2018-01-05,0.0231682,4,2
2018-01-08,0.2256110625,3,2
2018-01-09,19.883649554808343,131,16
2018-01-10,25.333723116055626,213,14
2018-01-11,5.5544542224982525,53,5
2018-01-12,0.21232644186000005,4,2
2018-01-13,1.3254748099742917,8,6
2018-01-14,9.918004621028738,34,11
2018-01-15,0.6076,1,1
2018-01-16,13.699121874795134,103,8
2018-01-17,0.416940612373481,12,3
2018-01-18,1.1272690730132555,17,2
2018-01-19,11.663048438998075,29,11
2018-01-20,8.153300983741659,27,8
2018-01-21,26.1423673373645,34,12
2018-01-22,62.38438944030289,148,8
2018-01-23,25.424076892877608,119,20
2018-01-24,4.4822500621253125,23,11
2018-01-25,15.389360085797984,33,19
2018-01-26,45.22588934134095,94,14
2018-01-27,25.780653509317737,29,16
2018-01-28,20.777800867810907,28,11
2018-01-29,31.88115185217284,37,15
2018-01-30,38.52258199268096,38,13
2018-01-31,95.66127217731537,54,9
2018-02-01,17.983316040000005,20,7
2018-02-02,23.959548432100352,31,8
2018-02-03,28.119421119224,16,9
2018-02-04,36.69351501328681,19,8
2018-02-05,161.21354919826763,101,13
2018-02-06,113.9122780781432,65,13
2018-02-07,110.56509198634005,50,5
2018-02-08,14.128880990003635,17,9
2018-02-09,141.0962390393709,109,18
2018-02-10,14.276832673708501,38,13
2018-02-11,57.950214737061316,54,12
2018-02-12,58.44559197485025,75,15
2018-02-13,45.45483121352886,56,17
2018-02-14,77.11529884045402,78,14
2018-02-15,11.558121747081316,30,11
2018-02-16,25.41500002450148,36,12
2018-02-17,11.220795648300953,3,3
2018-02-18,10.254683776993136,37,9
2018-02-19,3.6663465889879983,27,7
2018-02-20,2.496021743749849,24,10
2018-02-21,25.40546909286893,60,17
2018-02-22,10.982829428101732,24,14
2018-02-23,17.80831533476445,56,16
2018-02-24,52.186522825850886,93,20
2018-02-25,44.233470510402526,61,22
2018-02-26,292.98360154344397,126,28
2018-02-27,46.063488772028656,64,19
2018-02-28,30.36596649174342,48,18
2018-03-01,133.69974070145443,70,22
2018-03-02,115.19813658196163,118,25
2018-03-03,23.594232893958612,48,20
2018-03-04,11.276291404648054,18,9
2018-03-05,27.603190155125965,23,12
2018-03-06,162.89046633723422,137,24
2018-03-07,95.77838376479887,104,26
2018-03-08,62.40065949311689,72,30
2018-03-09,61.39756663257741,62,22
2018-03-10,19.43551725142123,26,15
2018-03-11,18.564318217826703,20,12
2018-03-12,56.96168762061253,29,14
2018-03-13,3.3627700000000003,4,1
